Location,Gender,Smoking Behavior,Smoking Percentage,Age,Smoking Duration,Cigarettes per day,Previous Quit Attempts,Craving Level,Stress Level,Physical Activity,Support System,Nicotine Dependence Score,Reason for Start Smoking,Quit Success
Hawaii,Female,Smokeless Tobacco Use (Youth),8.3,58,4,32,8,High,Low,Sedentary,None,3,Peer Pressure,No
Delaware,Female,Smokeless Tobacco Use (Youth),3.6,50,6,3,5,High,High,Active,None,4,Stress Relief,No
Alabama,Female,Cigarette Use (Youth),23.2,57,38,15,6,Medium,Medium,Sedentary,Professional Help,8,Family Influence,No
Georgia,Female,Smokeless Tobacco Use (Youth),2.1,56,26,8,1,Low,High,Moderate,None,9,Peer Pressure,No
Kentucky,Female,Cigarette Use (Youth),46.3,35,11,32,0,Medium,High,Moderate,None,5,Peer Pressure,No
Idaho,Female,Smokeless Tobacco Use (Youth),2.7,57,26,38,0,Low,High,Sedentary,Family & Friends,4,Family Influence,Yes
Kentucky,Male,Cessation (Youth),51.1,18,17,26,2,High,Medium,Sedentary,Family & Friends,7,Family Influence,No
Louisiana,Overall,Smokeless Tobacco Use (Youth),5.0,28,24,30,2,Low,Low,Active,Family & Friends,4,Media Influence,Yes
North Dakota,Male,Cigarette Use (Youth),9.2,45,28,9,7,Medium,Low,Moderate,Family & Friends,4,Peer Pressure,Yes
Pennsylvania,Overall,Smokeless Tobacco Use (Youth),0.2,42,35,32,6,Medium,High,Moderate,Family & Friends,7,Curiosity,No
West Virginia,Overall,Smokeless Tobacco Use (Youth),21.0,40,31,11,9,Medium,High,Moderate,None,8,Media Influence,No
Missouri,Overall,Cessation (Youth),39.3,48,13,22,7,Low,Low,Sedentary,None,7,Curiosity,No
Hawaii,Overall,Cigarette Use (Youth),5.8,47,35,34,0,Medium,High,Moderate,Professional Help,8,Family Influence,No
New Jersey,Female,Smokeless Tobacco Use (Youth),2.0,59,16,18,3,Low,Low,Active,Family & Friends,8,Media Influence,No
Mississippi,Overall,Smokeless Tobacco Use (Youth),23.4,52,15,19,7,High,Medium,Active,Family & Friends,7,Stress Relief,No
Mississippi,Male,Cessation (Youth),51.7,24,18,18,9,Low,High,Sedentary,Family & Friends,6,Media Influence,No
Rhode Island,Female,Cigarette Use (Youth),17.2,33,37,37,1,High,Low,Sedentary,Family & Friends,6,Media Influence,No
Ohio,Overall,Smokeless Tobacco Use (Youth),1.0,43,27,18,6,Low,Low,Active,Family & Friends,0,Family Influence,Yes
Kentucky,Male,Cigarette Use (Youth),13.9,19,35,12,7,High,Medium,Sedentary,None,6,Peer Pressure,No
Minnesota,Overall,Smokeless Tobacco Use (Youth),11.2,18,35,4,8,Medium,High,Sedentary,None,9,Family Influence,No
Massachusetts,Female,Cigarette Use (Youth),9.5,29,28,27,6,Low,Medium,Moderate,Family & Friends,5,Family Influence,No
Michigan,Female,Smokeless Tobacco Use (Youth),4.3,22,39,5,8,High,Low,Active,None,0,Family Influence,No
Hawaii,Overall,Cessation (Youth),63.1,54,38,6,1,Medium,Low,Moderate,Family & Friends,9,Curiosity,No
North Carolina,Overall,Cigarette Use (Youth),21.1,49,9,13,0,Medium,Medium,Active,Professional Help,9,Stress Relief,No
Indiana,Female,Smokeless Tobacco Use (Youth),5.7,26,12,23,0,High,Medium,Moderate,Family & Friends,7,Curiosity,No
Vermont,Male,Cessation (Youth),54.7,58,15,25,3,High,Medium,Active,Professional Help,8,Media Influence,No
New Hampshire,Male,Cigarette Use (Youth),9.8,52,21,4,0,Low,High,Active,Professional Help,1,Family Influence,Yes
Arkansas,Overall,Cessation (Youth),41.4,36,35,32,6,High,Low,Active,Family & Friends,3,Peer Pressure,Yes
New Jersey,Male,Smokeless Tobacco Use (Youth),0.7,33,33,15,7,High,High,Sedentary,Family & Friends,6,Family Influence,No
North Dakota,Male,Smokeless Tobacco Use (Youth),12.1,20,19,26,2,Medium,High,Moderate,Family & Friends,0,Curiosity,Yes
Delaware,Female,Smokeless Tobacco Use (Youth),1.2,37,23,11,0,High,Medium,Sedentary,Family & Friends,7,Stress Relief,No
Kansas,Overall,Smokeless Tobacco Use (Youth),0.1,41,13,9,2,High,High,Sedentary,None,8,Curiosity,No
Arkansas,Female,Smokeless Tobacco Use (Youth),14.7,50,1,11,1,High,High,Active,None,7,Family Influence,No
Mississippi,Female,Cigarette Use (Youth),11.0,41,29,2,5,Medium,Medium,Active,Professional Help,1,Stress Relief,Yes
Wisconsin,Female,Smokeless Tobacco Use (Youth),0.3,28,24,27,6,Medium,Medium,Sedentary,Family & Friends,7,Peer Pressure,No
Michigan,Female,Cigarette Use (Youth),1.5,25,16,26,8,Medium,Medium,Sedentary,None,7,Curiosity,No
Rhode Island,Overall,Cigarette Use (Youth),6.8,53,25,8,4,Medium,Low,Sedentary,None,1,Curiosity,No
Delaware,Female,Smokeless Tobacco Use (Youth),5.9,55,23,21,3,Low,Low,Active,None,8,Media Influence,No
New Jersey,Male,Cigarette Use (Youth),44.6,57,28,21,0,Medium,High,Active,Professional Help,0,Stress Relief,Yes
Connecticut,Overall,Smokeless Tobacco Use (Youth),0.9,37,16,8,5,Medium,High,Active,None,6,Curiosity,No
Texas,Male,Cigarette Use (Youth),68.7,52,38,1,7,Low,Low,Moderate,Family & Friends,1,Media Influence,Yes
Utah,Male,Cessation (Youth),37.5,42,11,38,3,Low,High,Sedentary,None,7,Peer Pressure,No
Missouri,Overall,Cigarette Use (Youth),54.5,52,3,13,0,Low,Medium,Sedentary,Family & Friends,7,Curiosity,No
Connecticut,Overall,Cessation (Youth),50.3,42,15,9,4,High,Low,Moderate,None,3,Curiosity,No
Louisiana,Male,Cessation (Youth),52.7,46,1,28,9,Medium,High,Sedentary,Family & Friends,7,Family Influence,No
West Virginia,Overall,Cigarette Use (Youth),7.5,35,7,6,4,High,High,Sedentary,Professional Help,4,Curiosity,Yes
South Carolina,Male,Smokeless Tobacco Use (Youth),18.9,35,1,23,1,Low,High,Sedentary,None,8,Peer Pressure,No
Utah,Male,Cigarette Use (Youth),1.6,19,32,36,5,Low,Low,Moderate,None,0,Media Influence,No
Missouri,Male,Smokeless Tobacco Use (Youth),12.9,52,9,17,9,Low,Low,Moderate,Professional Help,4,Stress Relief,Yes
Connecticut,Male,Cessation (Youth),54.0,33,29,9,8,Low,Low,Sedentary,Professional Help,8,Peer Pressure,No
West Virginia,Male,Smokeless Tobacco Use (Youth),2.7,58,26,12,5,High,Medium,Active,Professional Help,5,Stress Relief,No
Pennsylvania,Male,Cessation (Youth),55.3,53,23,22,7,Low,High,Sedentary,Family & Friends,3,Peer Pressure,Yes
Indiana,Overall,Cigarette Use (Youth),37.4,50,29,12,9,Medium,High,Sedentary,Family & Friends,0,Media Influence,Yes
Alabama,Female,Cessation (Youth),55.6,21,38,6,2,Medium,Medium,Active,None,9,Family Influence,No
Tennessee,Male,Smokeless Tobacco Use (Youth),7.7,50,33,9,9,Medium,Low,Sedentary,Family & Friends,5,Media Influence,No
North Carolina,Male,Cigarette Use (Youth),3.7,31,7,37,1,High,Low,Sedentary,None,6,Stress Relief,No
Kansas,Female,Cessation (Youth),53.4,38,12,3,3,Low,Low,Moderate,Professional Help,6,Stress Relief,No
Pennsylvania,Female,Smokeless Tobacco Use (Youth),0.3,37,31,34,8,High,Medium,Sedentary,None,8,Curiosity,No
Arkansas,Male,Cigarette Use (Youth),8.8,25,32,8,8,Medium,High,Active,Professional Help,3,Family Influence,Yes
Utah,Female,Smokeless Tobacco Use (Youth),0.2,24,20,10,2,Low,Medium,Moderate,Professional Help,3,Media Influence,Yes
Indiana,Male,Smokeless Tobacco Use (Youth),11.8,20,17,9,0,High,High,Moderate,None,4,Media Influence,No
Kentucky,Female,Smokeless Tobacco Use (Youth),0.1,34,36,14,0,Low,High,Active,Family & Friends,8,Stress Relief,No
West Virginia,Male,Smokeless Tobacco Use (Youth),26.6,50,3,37,3,Low,High,Active,Family & Friends,1,Family Influence,Yes
Mississippi,Male,Smokeless Tobacco Use (Youth),25.5,29,1,27,3,High,Medium,Moderate,None,3,Media Influence,No
Missouri,Overall,Smokeless Tobacco Use (Youth),21.3,39,27,32,9,Medium,Low,Sedentary,Family & Friends,8,Family Influence,No
Hawaii,Female,Cigarette Use (Youth),29.1,39,33,4,5,High,Low,Sedentary,Professional Help,5,Family Influence,No
Utah,Overall,Smokeless Tobacco Use (Youth),1.4,47,20,2,4,High,Medium,Moderate,Professional Help,5,Media Influence,No
Pennsylvania,Female,Smokeless Tobacco Use (Youth),0.2,55,14,33,5,Medium,High,Sedentary,Family & Friends,6,Family Influence,No
Missouri,Overall,Cigarette Use (Youth),14.9,55,36,21,9,High,Medium,Moderate,Family & Friends,4,Peer Pressure,Yes
Indiana,Overall,Cessation (Youth),55.4,25,5,1,6,Low,Low,Active,Professional Help,3,Stress Relief,Yes
Iowa,Female,Smokeless Tobacco Use (Youth),2.8,44,23,11,6,Medium,Medium,Sedentary,None,2,Family Influence,No
Connecticut,Female,Smokeless Tobacco Use (Youth),0.0,44,15,1,9,High,High,Sedentary,Family & Friends,1,Family Influence,Yes
New Hampshire,Overall,Cigarette Use (Youth),8.8,51,6,11,9,Low,Low,Moderate,Family & Friends,6,Peer Pressure,No
Kentucky,Female,Cigarette Use (Youth),74.1,38,33,7,8,Medium,High,Moderate,None,4,Curiosity,No
Mississippi,Overall,Smokeless Tobacco Use (Youth),17.8,47,19,2,5,High,Medium,Sedentary,Professional Help,0,Family Influence,Yes
Delaware,Female,Cessation (Youth),64.8,50,13,15,7,Medium,High,Sedentary,None,3,Media Influence,No
South Carolina,Female,Cessation (Youth),54.8,45,29,8,1,Low,Medium,Sedentary,None,8,Curiosity,No
Wisconsin,Overall,Cessation (Youth),55.3,50,6,26,7,Low,Low,Active,None,7,Curiosity,No
Delaware,Overall,Cigarette Use (Youth),5.6,22,15,35,8,Medium,Low,Sedentary,Family & Friends,6,Peer Pressure,No
South Carolina,Male,Smokeless Tobacco Use (Youth),6.7,36,16,21,3,Low,Low,Sedentary,Professional Help,4,Media Influence,Yes
Missouri,Female,Smokeless Tobacco Use (Youth),2.0,21,24,38,4,Low,High,Moderate,Professional Help,0,Curiosity,Yes
Connecticut,Male,Cigarette Use (Youth),11.1,52,23,8,4,Medium,Medium,Active,Family & Friends,4,Family Influence,Yes
Indiana,Female,Smokeless Tobacco Use (Youth),0.2,34,10,32,1,Medium,Medium,Moderate,None,7,Peer Pressure,No
Tennessee,Female,Cigarette Use (Youth),71.9,45,17,8,4,High,Medium,Sedentary,Family & Friends,3,Peer Pressure,Yes
Kansas,Overall,Cigarette Use (Youth),12.7,47,30,10,8,High,High,Active,None,4,Peer Pressure,No
Kansas,Male,Cessation (Youth),34.9,46,10,23,3,Medium,Medium,Sedentary,None,7,Stress Relief,No
North Dakota,Male,Smokeless Tobacco Use (Youth),7.7,23,19,4,9,Low,Low,Active,None,4,Curiosity,No
Iowa,Female,Cigarette Use (Youth),15.9,52,29,38,2,Low,Medium,Active,None,3,Media Influence,No
Nebraska,Overall,Cessation (Youth),52.6,58,2,30,6,Medium,High,Active,Family & Friends,3,Media Influence,Yes
Wyoming,Female,Smokeless Tobacco Use (Youth),13.7,54,36,23,7,Medium,Low,Active,None,5,Stress Relief,No
Tennessee,Male,Cigarette Use (Youth),47.3,41,19,5,9,Medium,Low,Active,Family & Friends,9,Family Influence,No
Alabama,Overall,Cessation (Youth),50.9,46,7,21,5,Low,High,Active,None,0,Curiosity,No
Georgia,Overall,Cigarette Use (Youth),6.5,48,26,6,5,High,Low,Moderate,Family & Friends,3,Peer Pressure,Yes
Pennsylvania,Male,Smokeless Tobacco Use (Youth),22.0,52,15,17,4,High,Medium,Moderate,Professional Help,0,Stress Relief,Yes
Mississippi,Male,Smokeless Tobacco Use (Youth),28.3,50,38,25,5,Low,High,Sedentary,Family & Friends,5,Stress Relief,No
Massachusetts,Overall,Cigarette Use (Youth),20.7,38,3,24,8,High,Medium,Active,Professional Help,7,Curiosity,No
Arkansas,Male,Smokeless Tobacco Use (Youth),39.3,49,38,22,1,Medium,High,Active,Family & Friends,3,Media Influence,Yes
Kansas,Female,Smokeless Tobacco Use (Youth),0.1,40,16,13,9,Medium,High,Moderate,Professional Help,7,Curiosity,No
Mississippi,Overall,Cigarette Use (Youth),60.7,50,2,17,2,Low,High,Sedentary,Family & Friends,1,Media Influence,Yes
Minnesota,Overall,Cigarette Use (Youth),64.7,20,31,14,0,Low,Medium,Sedentary,None,4,Curiosity,No
Alabama,Female,Smokeless Tobacco Use (Youth),11.4,35,28,34,3,Medium,High,Moderate,Professional Help,2,Media Influence,Yes
Indiana,Male,Smokeless Tobacco Use (Youth),14.7,42,7,26,1,Medium,Low,Moderate,None,6,Stress Relief,No
Oklahoma,Male,Cigarette Use (Youth),8.6,59,30,19,5,Low,Medium,Active,Professional Help,8,Media Influence,No
New Hampshire,Female,Cigarette Use (Youth),14.5,48,7,26,0,Low,High,Moderate,None,0,Curiosity,No
Alabama,Overall,Cigarette Use (Youth),8.7,20,36,3,7,Medium,High,Active,None,7,Family Influence,No
Pennsylvania,Female,Smokeless Tobacco Use (Youth),1.0,57,29,2,9,Medium,Medium,Sedentary,Family & Friends,3,Curiosity,Yes
Hawaii,Female,Smokeless Tobacco Use (Youth),0.0,41,24,28,5,High,Low,Active,None,9,Stress Relief,No
Alabama,Female,Cessation (Youth),37.8,49,39,2,8,High,Low,Moderate,Professional Help,4,Media Influence,Yes
California,Male,Smokeless Tobacco Use (Youth),0.9,39,4,22,5,Medium,High,Active,Professional Help,0,Media Influence,Yes
Oklahoma,Overall,Cessation (Youth),56.2,40,29,7,9,Low,High,Active,Professional Help,4,Media Influence,Yes
Minnesota,Overall,Smokeless Tobacco Use (Youth),0.5,19,5,4,6,High,Low,Moderate,Family & Friends,8,Stress Relief,No
Alabama,Overall,Cigarette Use (Youth),40.2,44,29,38,4,High,High,Active,Family & Friends,7,Curiosity,No
California,Female,Cessation (Youth),48.6,59,30,39,7,Medium,Low,Sedentary,Professional Help,7,Media Influence,No
Mississippi,Male,Cessation (Youth),59.1,19,29,20,7,Low,Low,Active,None,5,Family Influence,No
South Carolina,Male,Smokeless Tobacco Use (Youth),5.1,43,26,6,9,Low,Low,Moderate,Family & Friends,8,Family Influence,No
Alabama,Overall,Cigarette Use (Youth),15.6,34,19,9,8,Medium,Low,Moderate,None,3,Peer Pressure,No
New York,Male,Cigarette Use (Youth),24.8,57,26,31,5,Low,High,Moderate,Family & Friends,5,Family Influence,No
Kentucky,Female,Cessation (Youth),45.3,50,37,26,0,Medium,Medium,Active,Family & Friends,2,Peer Pressure,Yes
Michigan,Male,Smokeless Tobacco Use (Youth),15.5,26,27,36,8,Low,Medium,Sedentary,Family & Friends,1,Media Influence,Yes
Connecticut,Female,Smokeless Tobacco Use (Youth),1.3,56,30,26,2,Medium,Low,Moderate,Family & Friends,8,Stress Relief,No
New Jersey,Female,Smokeless Tobacco Use (Youth),6.0,46,30,28,8,Low,High,Moderate,Professional Help,4,Stress Relief,Yes
New Hampshire,Overall,Smokeless Tobacco Use (Youth),0.6,59,3,5,6,Medium,Medium,Sedentary,Family & Friends,1,Stress Relief,Yes
Michigan,Female,Cessation (Youth),61.9,43,7,10,2,Medium,Medium,Moderate,Family & Friends,4,Media Influence,Yes
New Jersey,Female,Cigarette Use (Youth),0.3,52,9,18,8,Low,Low,Active,Professional Help,5,Media Influence,No
Louisiana,Male,Cigarette Use (Youth),0.8,42,13,15,6,Medium,Low,Moderate,Professional Help,7,Curiosity,No
Ohio,Male,Cigarette Use (Youth),15.9,41,15,33,6,High,High,Moderate,Professional Help,4,Family Influence,Yes
North Dakota,Female,Cigarette Use (Youth),2.7,30,5,5,6,Low,Medium,Active,Professional Help,1,Media Influence,Yes
Iowa,Female,Smokeless Tobacco Use (Youth),10.0,24,29,37,1,Medium,Low,Sedentary,None,6,Family Influence,No
New Jersey,Overall,Cessation (Youth),53.4,53,35,22,3,Low,Low,Sedentary,Professional Help,4,Stress Relief,Yes
Indiana,Overall,Cessation (Youth),38.6,37,27,22,9,Low,High,Moderate,Professional Help,1,Family Influence,Yes
Iowa,Overall,Cessation (Youth),50.2,18,27,22,7,Medium,Low,Active,Professional Help,5,Curiosity,No
West Virginia,Female,Cigarette Use (Youth),8.9,25,8,15,1,High,Low,Active,None,6,Stress Relief,No
Utah,Male,Cigarette Use (Youth),13.1,33,32,17,3,Low,Low,Sedentary,Professional Help,7,Family Influence,No
Arkansas,Overall,Smokeless Tobacco Use (Youth),28.4,31,20,28,9,High,Low,Sedentary,None,2,Curiosity,No
Vermont,Overall,Cigarette Use (Youth),51.6,29,10,22,7,High,Low,Sedentary,Family & Friends,3,Family Influence,Yes
Alabama,Overall,Smokeless Tobacco Use (Youth),5.0,40,13,21,2,Medium,High,Active,None,5,Curiosity,No
Delaware,Female,Smokeless Tobacco Use (Youth),0.5,32,29,17,5,Medium,Low,Active,Professional Help,2,Family Influence,Yes
Wisconsin,Female,Cigarette Use (Youth),32.8,45,35,5,1,Low,Medium,Active,None,5,Stress Relief,No
Indiana,Overall,Cigarette Use (Youth),17.1,51,8,18,7,Medium,Low,Moderate,None,8,Stress Relief,No
Wisconsin,Male,Cigarette Use (Youth),9.3,19,29,17,7,Low,Low,Moderate,None,4,Peer Pressure,No
Kentucky,Male,Smokeless Tobacco Use (Youth),11.2,49,31,4,0,Low,Medium,Sedentary,None,1,Curiosity,No
Minnesota,Overall,Cigarette Use (Youth),4.1,40,30,7,2,High,Medium,Sedentary,None,9,Family Influence,No
Maryland,Overall,Smokeless Tobacco Use (Youth),2.1,39,22,25,1,Medium,Low,Moderate,None,1,Family Influence,No
North Carolina,Female,Smokeless Tobacco Use (Youth),1.3,42,21,37,6,Medium,High,Moderate,None,6,Family Influence,No
Wyoming,Male,Cigarette Use (Youth),15.6,39,12,9,6,Low,Medium,Moderate,None,3,Media Influence,No
Rhode Island,Female,Cessation (Youth),60.9,39,11,19,3,High,High,Moderate,Family & Friends,8,Curiosity,No
Colorado,Female,Smokeless Tobacco Use (Youth),3.1,59,2,9,7,Medium,Low,Sedentary,Family & Friends,8,Family Influence,No
North Dakota,Female,Cigarette Use (Youth),9.3,23,2,23,2,High,Low,Moderate,Professional Help,5,Peer Pressure,No
Indiana,Overall,Smokeless Tobacco Use (Youth),20.0,32,34,31,8,High,Medium,Moderate,Professional Help,9,Stress Relief,No
North Dakota,Overall,Cessation (Youth),45.3,54,3,32,4,Low,Medium,Active,Professional Help,4,Media Influence,Yes
North Carolina,Female,Smokeless Tobacco Use (Youth),1.5,50,16,31,1,Medium,High,Sedentary,Professional Help,6,Media Influence,No
Ohio,Overall,Smokeless Tobacco Use (Youth),0.9,25,4,17,8,Medium,Low,Sedentary,Professional Help,4,Stress Relief,Yes
Utah,Female,Smokeless Tobacco Use (Youth),6.0,22,23,39,0,Medium,Medium,Active,Professional Help,8,Media Influence,No
Alabama,Overall,Smokeless Tobacco Use (Youth),10.9,56,20,22,7,High,Medium,Sedentary,Family & Friends,8,Peer Pressure,No
Oklahoma,Male,Cigarette Use (Youth),3.3,21,25,35,5,Medium,Medium,Sedentary,Family & Friends,6,Peer Pressure,No
Wisconsin,Female,Cigarette Use (Youth),4.3,23,30,30,0,Low,High,Moderate,Family & Friends,3,Stress Relief,Yes
Ohio,Female,Cigarette Use (Youth),18.5,49,18,37,3,High,Low,Moderate,None,0,Curiosity,No
New Jersey,Male,Smokeless Tobacco Use (Youth),4.5,47,11,26,2,Medium,Medium,Sedentary,None,3,Media Influence,No
North Carolina,Female,Smokeless Tobacco Use (Youth),1.8,52,29,6,6,High,Medium,Active,Professional Help,2,Family Influence,Yes
South Carolina,Overall,Smokeless Tobacco Use (Youth),0.9,57,17,34,6,High,Medium,Active,Family & Friends,0,Family Influence,Yes
Hawaii,Overall,Cigarette Use (Youth),2.9,33,26,32,5,High,Low,Sedentary,Professional Help,9,Peer Pressure,No
Alabama,Male,Smokeless Tobacco Use (Youth),29.8,30,23,25,9,Low,High,Sedentary,Family & Friends,3,Curiosity,Yes
West Virginia,Overall,Cigarette Use (Youth),22.3,59,20,13,9,Medium,High,Sedentary,Family & Friends,6,Curiosity,No
Nebraska,Female,Smokeless Tobacco Use (Youth),1.1,47,2,38,7,Medium,Low,Sedentary,Professional Help,1,Media Influence,Yes
Pennsylvania,Male,Cigarette Use (Youth),7.5,36,24,38,6,High,High,Moderate,Professional Help,6,Media Influence,No
Mississippi,Female,Cigarette Use (Youth),3.6,34,31,2,3,Medium,High,Moderate,None,5,Stress Relief,No
Mississippi,Male,Cessation (Youth),40.9,36,27,5,6,High,Medium,Sedentary,Family & Friends,8,Peer Pressure,No
Minnesota,Male,Cigarette Use (Youth),1.1,45,2,11,0,High,High,Active,None,1,Stress Relief,No
Mississippi,Overall,Smokeless Tobacco Use (Youth),9.1,43,14,11,2,High,Medium,Moderate,None,5,Stress Relief,No
New Jersey,Overall,Smokeless Tobacco Use (Youth),7.0,54,4,24,1,Low,High,Sedentary,None,5,Curiosity,No
Tennessee,Female,Cigarette Use (Youth),61.3,43,13,14,6,Medium,Medium,Active,None,5,Media Influence,No
Kansas,Male,Smokeless Tobacco Use (Youth),6.1,40,36,30,8,High,Low,Moderate,Family & Friends,2,Family Influence,Yes
North Dakota,Female,Cigarette Use (Youth),9.8,26,35,35,4,Medium,Low,Moderate,Family & Friends,5,Stress Relief,No
South Dakota,Male,Smokeless Tobacco Use (Youth),0.5,29,8,21,8,Low,High,Sedentary,None,8,Peer Pressure,No
Texas,Overall,Smokeless Tobacco Use (Youth),10.3,18,2,5,7,Low,Medium,Active,Family & Friends,2,Stress Relief,Yes
Indiana,Female,Cigarette Use (Youth),20.7,18,6,38,0,High,Low,Sedentary,None,1,Family Influence,No
California,Female,Smokeless Tobacco Use (Youth),4.6,51,31,2,1,Low,Low,Moderate,Professional Help,7,Family Influence,No
West Virginia,Overall,Cigarette Use (Youth),4.6,49,10,37,5,Low,High,Active,None,2,Peer Pressure,No
Wisconsin,Overall,Cigarette Use (Youth),19.8,42,21,34,4,Low,Medium,Moderate,Professional Help,4,Family Influence,Yes
West Virginia,Female,Cigarette Use (Youth),23.9,57,10,11,6,Low,Medium,Sedentary,None,4,Family Influence,No
Minnesota,Male,Cessation (Youth),52.1,18,23,36,8,Low,Low,Sedentary,None,1,Family Influence,No
South Carolina,Female,Smokeless Tobacco Use (Youth),7.5,33,3,11,3,Low,High,Moderate,Family & Friends,1,Stress Relief,Yes
Virginia,Male,Smokeless Tobacco Use (Youth),3.3,56,32,9,7,Medium,Low,Sedentary,Professional Help,5,Peer Pressure,No
South Carolina,Female,Cigarette Use (Youth),16.3,22,20,6,3,Low,Low,Sedentary,Family & Friends,1,Stress Relief,Yes
North Dakota,Male,Smokeless Tobacco Use (Youth),12.7,39,10,34,2,Medium,High,Moderate,None,5,Peer Pressure,No
Minnesota,Female,Cigarette Use (Youth),16.7,46,29,37,1,High,High,Active,Professional Help,6,Family Influence,No
Missouri,Female,Cigarette Use (Youth),25.6,20,34,32,7,Low,High,Moderate,None,3,Family Influence,No
New Jersey,Female,Cigarette Use (Youth),10.2,29,37,12,7,Low,Medium,Moderate,Professional Help,9,Media Influence,No
Rhode Island,Overall,Cigarette Use (Youth),8.4,43,20,32,2,Medium,High,Active,Professional Help,3,Family Influence,Yes
